Date,Code,Open,Close,Volume
2018-12-13,NFLX,277.64,276.02,8379300
2018-12-14,FB,143.34,144.06,21785800
2018-12-14,GOOGL,1060.02,1051.71,1817900
2018-12-14,NFLX,271.81,266.84,9915300
2018-12-17,FB,143.08,140.19,24334000
2018-12-17,GOOGL,1047.01,1025.65,2496600
2018-12-17,NFLX,266.51,262.8,9634700
2018-12-18,FB,141.08,143.66,24709100
2018-12-18,GOOGL,1034.0,1043.41,2182000
2018-12-18,NFLX,263.3,270.94,10350100
2018-12-19,FB,141.21,133.24,57404900
2018-12-19,GOOGL,1047.29,1035.46,2913200
2018-12-19,NFLX,269.96,266.77,13788400
2018-12-20,FB,130.7,133.4,40297900
2018-12-20,GOOGL,1026.0,1023.58,2683700
2018-12-20,NFLX,264.64,260.58,16792900
2018-12-21,FB,133.39,124.95,56901500
2018-12-21,GOOGL,1032.04,991.25,5232800
2018-12-21,NFLX,263.83,246.39,21397600
2018-12-24,FB,123.1,124.06,22066000
2018-12-24,GOOGL,984.32,984.67,1818000
2018-12-24,NFLX,242.0,233.88,9547600
2018-12-26,FB,126.0,134.18,39723400
2018-12-26,GOOGL,997.99,1047.85,2315900
2018-12-26,NFLX,233.92,253.67,14402700
2018-12-27,FB,132.44,134.52,31202500
2018-12-27,GOOGL,1026.2,1052.9,2299800
2018-12-27,NFLX,250.11,255.57,12235200
2018-12-28,FB,135.34,133.2,22627600
2018-12-28,GOOGL,1059.5,1046.68,1719900
2018-12-28,NFLX,257.94,256.08,10992800
2018-12-31,FB,134.45,131.09,24625300
2018-12-31,GOOGL,1057.83,1044.96,1655500
2018-12-31,NFLX,260.16,267.66,13508900
2019-01-02,FB,128.99,135.68,28146200
2019-01-02,GOOGL,1027.2,1054.68,1593400
2019-01-02,NFLX,259.28,267.66,11679500
2019-01-03,FB,134.69,131.74,22717900
2019-01-03,GOOGL,1050.67,1025.47,2098000
2019-01-03,NFLX,270.2,271.2,14969600
2019-01-04,FB,134.01,137.95,29002100
2019-01-04,GOOGL,1042.56,1078.07,2301100
2019-01-04,NFLX,281.88,297.57,19330100
2019-01-07,FB,137.56,138.05,20089300
2019-01-07,GOOGL,1080.97,1075.92,2372300
2019-01-07,NFLX,302.1,315.34,18620100
2019-01-08,FB,139.89,142.53,26263800
2019-01-08,GOOGL,1086.0,1085.37,1770700
2019-01-08,NFLX,319.98,320.27,15359200
2019-01-09,FB,142.95,144.23,22205900
2019-01-09,GOOGL,1087.99,1081.65,1349900
2019-01-09,NFLX,317.71,319.96,13343200
2019-01-10,FB,143.08,144.2,16125000
2019-01-10,GOOGL,1074.94,1078.83,1329900
2019-01-10,NFLX,314.57,324.66,13472500
2019-01-11,FB,143.15,143.8,12908000
2019-01-11,GOOGL,1069.9,1064.47,1543200
2019-01-11,NFLX,330.96,337.59,19500400
2019-01-14,FB,142.0,145.39,20520300
2019-01-14,GOOGL,1053.34,1051.51,1424500
2019-01-14,NFLX,334.24,332.94,10499600
2019-01-15,FB,146.01,148.95,24069000
2019-01-15,GOOGL,1058.01,1086.51,1875900
2019-01-15,NFLX,349.6,354.64,21181200
2019-01-16,FB,149.0,147.54,18025700
2019-01-16,GOOGL,1090.0,1089.51,1914000
2019-01-16,NFLX,354.0,351.39,15385500
2019-01-17,FB,146.95,148.3,15787900
2019-01-17,GOOGL,1087.99,1099.12,1244800
2019-01-17,NFLX,349.5,353.19,18871200
2019-01-18,FB,149.75,150.04,31029600
2019-01-18,GOOGL,1108.59,1107.3,2244600
2019-01-18,NFLX,351.97,339.1,26621000
2019-01-22,FB,149.2,147.57,22378700
2019-01-22,GOOGL,1096.0,1078.63,1981600
2019-01-22,NFLX,334.89,325.16,17941400
2019-01-23,FB,148.28,144.3,20098400
2019-01-23,GOOGL,1086.86,1084.41,1259700
2019-01-23,NFLX,328.25,321.99,13480100
2019-01-24,FB,144.64,145.83,20955500
2019-01-24,GOOGL,1082.51,1084.0,1455700
2019-01-24,NFLX,320.6,326.67,11131600
2019-01-25,FB,147.48,149.01,22237200
2019-01-25,GOOGL,1094.23,1101.51,1163000
2019-01-25,NFLX,328.72,338.05,11152900
2019-01-28,FB,148.05,147.47,15508500
2019-01-28,GOOGL,1090.07,1079.86,1466700
2019-01-28,NFLX,334.7,335.66,8652100
2019-01-29,FB,148.09,144.19,17632100
2019-01-29,GOOGL,1081.04,1070.06,985200
2019-01-29,NFLX,335.87,328.9,7655200
2019-01-30,FB,146.22,150.42,44613200
2019-01-30,GOOGL,1077.36,1097.99,1472600
2019-01-30,NFLX,332.75,340.66,9234500
2019-01-31,FB,165.6,166.69,77233600
2019-01-31,GOOGL,1112.24,1125.89,2011600
2019-01-31,NFLX,339.68,339.5,8535500
2019-02-01,FB,165.84,165.71,30806500
2019-02-01,GOOGL,1122.29,1118.62,1655800
2019-02-01,NFLX,337.18,339.85,9827800
2019-02-04,FB,165.7,169.25,20036000
2019-02-04,GOOGL,1119.01,1141.42,3920400
2019-02-04,NFLX,342.6,351.34,9051400
2019-02-05,FB,169.15,171.16,22557000
2019-02-05,GOOGL,1129.63,1151.87,4114800
2019-02-05,NFLX,353.2,355.81,9046600
2019-02-06,FB,171.2,170.49,13281200
2019-02-06,GOOGL,1149.27,1122.89,2412800
2019-02-06,NFLX,357.0,352.19,6717700
2019-02-07,FB,168.2,166.38,17517600
2019-02-07,GOOGL,1111.82,1105.91,1914900
2019-02-07,NFLX,347.9,344.71,7864500
2019-02-08,FB,164.47,167.33,12561400
2019-02-08,GOOGL,1094.88,1102.38,1088300
2019-02-08,NFLX,338.0,347.57,7561400
2019-02-11,FB,167.9,165.79,12811200
2019-02-11,GOOGL,1103.75,1102.12,924900
2019-02-11,NFLX,350.0,345.73,5454900
2019-02-12,FB,166.86,165.04,16292300
2019-02-12,GOOGL,1111.01,1127.58,1751800
2019-02-12,NFLX,348.09,359.97,10429400
2019-02-13,FB,165.38,164.07,14205100
2019-02-13,GOOGL,1133.04,1128.63,1402100
2019-02-13,NFLX,357.3,351.77,10559100
2019-02-14,FB,163.19,163.95,12755200
2019-02-14,GOOGL,1125.0,1129.2,1055300
2019-02-14,NFLX,351.75,359.07,9295300
2019-02-15,FB,164.51,162.5,15504400
2019-02-15,GOOGL,1139.3,1119.63,1391300
2019-02-15,NFLX,358.47,356.87,9230000
2019-02-19,FB,160.5,162.29,14345400
2019-02-19,GOOGL,1116.64,1126.51,1099000
2019-02-19,NFLX,355.8,361.92,7396600
2019-02-20,FB,162.25,162.56,11770700
2019-02-20,GOOGL,1128.88,1120.59,1204500
2019-02-20,NFLX,364.85,359.91,8110700
2019-02-21,FB,161.93,160.04,15607800
2019-02-21,GOOGL,1118.78,1104.21,1663600
2019-02-21,NFLX,360.03,356.97,6227900
2019-02-22,FB,160.58,161.89,15858500
2019-02-22,GOOGL,1109.7,1116.56,1471800
2019-02-22,NFLX,360.34,363.02,7088200
2019-02-25,FB,163.07,164.62,18737100
2019-02-25,GOOGL,1121.93,1117.33,1310400
2019-02-25,NFLX,367.01,363.91,7569300
2019-02-26,FB,164.34,164.13,13784100
2019-02-26,GOOGL,1114.37,1122.01,1751300
2019-02-26,NFLX,362.98,364.97,4944600
2019-02-27,FB,162.9,162.81,12697500
2019-02-27,GOOGL,1114.01,1122.89,1104600
2019-02-27,NFLX,363.5,362.87,5629900
2019-02-28,FB,162.37,161.45,11114200
2019-02-28,GOOGL,1119.0,1126.55,1371100
2019-02-28,NFLX,362.47,358.1,6186800
2019-03-01,FB,162.6,162.28,11097800
2019-03-01,GOOGL,1131.0,1148.52,1704300
2019-03-01,NFLX,362.26,357.32,5526500
2019-03-04,FB,163.9,167.37,18894700
2019-03-04,GOOGL,1154.56,1153.42,1774500
2019-03-04,NFLX,359.72,351.04,7487000
2019-03-05,FB,167.37,171.26,28187900
2019-03-05,GOOGL,1156.0,1169.19,2004700
2019-03-05,NFLX,351.46,354.3,5937800
2019-03-06,FB,172.9,172.51,21531700
2019-03-06,GOOGL,1171.76,1164.94,1180100
2019-03-06,NFLX,353.6,359.61,6211900
2019-03-07,FB,171.5,169.13,18306500
2019-03-07,GOOGL,1160.5,1150.85,1504300
2019-03-07,NFLX,360.16,352.6,6151300
2019-03-08,FB,166.2,169.6,13184800
2019-03-08,GOOGL,1133.9,1149.97,1184700
2019-03-08,NFLX,345.75,349.6,6898800
2019-03-11,FB,171.6,172.07,18884000
2019-03-11,GOOGL,1152.0,1179.26,1501600
2019-03-11,NFLX,352.0,358.86,5387300
2019-03-12,FB,172.09,171.92,12155300
2019-03-12,GOOGL,1182.3,1197.25,2111000
2019-03-12,NFLX,359.37,356.27,5164600
